UserID,Highest Degree,Areas of Study,Usage Frequency,Experience,Elements: Individual Cells,Elements: Blocks of Cells,Elements: Row/Column Bands,Elements: Dendrogram Clusters,Elements: Heatmap Overview,Elements: Dendrogram Overview,Languages,Tools,Preference,Symmetric Matrices,Asymmetric Matrices,Max Cells,Min Cells
29,Doctorate,Biology,Monthly,5 to 9 years,Occasionally,Always,Always,Always,Always,Frequently,R,Cytoscape; Circos,,Always,Occassionaly,"1,000,000",36
31,Doctorate,Computer Science,Weekly,5 to 9 years,Infrequently,Always,Frequently,Frequently,Occasionally,Always,R; Matlab,,,Occassionaly,Frequently,"18,000,000","1,500"
32,Doctorate,Genomics; Biology,Weekly,1 to 4 years,Frequently,Frequently,Frequently,Frequently,Occasionally,Infrequently,R,Cytoscape,R,Occassionaly,Frequently,"250,000",100
33,Doctorate,Statistical Genetics,Monthly,5 to 9 years,Infrequently,Always,Always,Always,Frequently,Frequently,R,,,Always,Occassionaly,"1,000,000",25
34,Master's,Physiology,Monthly,Under 1 year,Never,Always,Always,Frequently,Never,Infrequently,R,,,Occassionaly,Occassionaly,,
35,Doctorate,Molecular Biology,Monthly,1 to 4 years,Infrequently,Always,Occasionally,Infrequently,Frequently,Always,R,Cytoscape; Circos,,Occassionaly,Infrequently,"720,000",600
36,Doctorate,Computational Biology,Monthly,Under 1 year,Occasionally,Always,Frequently,Frequently,Frequently,Frequently,R; Python,,,Frequently,Never,"10,000",400
37,Doctorate,Biology,Weekly,1 to 4 years,Infrequently,Always,Frequently,Frequently,Frequently,Frequently,,Cluster (Eisen),,Always,Never,"10,000","2,500"
38,Bachelor's,Applied Mathematics,Weekly,1 to 4 years,Occasionally,Always,Always,Always,Occasionally,Occasionally,R,Cytoscape; Circos,R,Frequently,Frequently,"1,000,000",625
40,Doctorate,Computational Biology,Weekly,5 to 9 years,Infrequently,Always,Always,Always,Occasionally,Occasionally,R,Cytoscape; Circos,,Frequently,Frequently,,
41,Doctorate,Bioinformatics,Monthly,5 to 9 years,Never,Frequently,Frequently,Frequently,Infrequently,Infrequently,R; Python,,,Never,Frequently,"1,000,000",100
42,Doctorate,Computer Science,Weekly,5 to 9 years,Occasionally,Always,Frequently,Infrequently,Always,Infrequently,R; Matlab,Cytoscape,,Always,Infrequently,"250,000",100
43,Doctorate,Cancer Biology,Weekly,1 to 4 years,Infrequently,Always,Always,Always,Occasionally,Frequently,,,,Infrequently,Frequently,,
44,Doctorate,Statistics,Yearly,5 to 9 years,Infrequently,Frequently,Occasionally,Frequently,Frequently,Frequently,R,,,Frequently,Infrequently,,
45,Doctorate,Biology,Monthly,Under 1 year,Never,Always,Always,Always,Never,Always,,,,Always,Always,,
46,Doctorate,Biology,Monthly,5 to 9 years,Infrequently,Always,Always,Always,Always,Frequently,,,,Frequently,Frequently,"10,000",100
47,Doctorate,Biology; Statistics,Monthly,5 to 9 years,Frequently,Frequently,Frequently,Frequently,Frequently,Occasionally,Gnuplot; Java,,,Infrequently,Infrequently,"10,000",100
48,Doctorate,Biophysics,Yearly,1 to 4 years,Infrequently,Occasionally,Always,Always,Occasionally,Frequently,R; Python,,,Always,Infrequently,"10,000",100
49,Doctorate,Biology,Daily,10 or more years,Occasionally,Always,Always,Always,Always,Always,R,Cytoscape; DNAStar; TM4 MeV,R; TM4 Mev,Frequently,Frequently,"100,000,000",50
